,Performance,Duels aériens,,Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,90,CJ,CR,2CrtJ,Fte,Ftp,HJ,Ctr,Int,TclR,Préussi,Pcon,CSC,Récupération,Gagnés,Perdus,% gagnés,Matchs
Edimilson Fernandes,ch SUI,MT,Brest,28-266,1996,5.7,0,0,0,6,5,0,1,9,5,0,1,0,34,4,5,44.4,Matchs
Matias Fernandez-Pardo,be BEL,AT,Lille,19-338,2005,4.9,2,0,0,7,11,0,11,1,4,1,0,0,13,0,6,0.0,Matchs
Jordan Ferri,fr FRA,MT,Montpellier,32-300,1992,9.8,4,0,0,14,15,0,11,6,11,0,1,0,64,8,8,50.0,Matchs
Karol Fila,pl POL,MT,Strasbourg,26-207,1998,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matchs
Malick Fofana,be BEL,AT,Lyon,19-281,2005,10.0,1,0,0,6,22,3,41,7,8,1,0,0,40,1,7,12.5,Matchs
Seko Fofana,ci CIV,MT,Rennes,29-244,1995,0.3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,Matchs
Yahia Fofana,ci CIV,GB,Angers,24-138,2000,16.0,2,0,0,0,6,0,0,1,0,0,0,0,21,3,0,100.0,Matchs
Lamine Fomba,fr FRA,MT,Saint-Étienne,26-346,1998,0.8,1,0,0,7,0,0,0,2,3,0,1,0,5,2,4,33.3,Matchs
Przemysław Frankowski,pl POL,DF,Lens,29-269,1995,11.5,3,0,0,12,6,1,51,8,12,0,0,0,47,7,6,53.8,Matchs
Angelo Fulgini,fr FRA,MT,AT,Lens,28-139,1996,7.4,1,0,0,7,21,2,22,0,4,0,0,0,34,3,9,25.0,Matchs
Gauthier Gallon,fr FRA,GB,Rennes,31-258,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matchs
Ignatius Ganago,cm CMR,AT,MT,Nantes,25-325,1999,2.7,1,0,0,2,3,2,3,4,1,0,0,0,7,4,7,36.4,Matchs
Ulisses Garcia,ch SUI,DF,Marseille,28-361,1996,4.6,1,0,0,5,4,2,15,2,7,0,0,0,23,9,3,75.0,Matchs
Jean-Philippe Gbamin,ci CIV,MT,Nantes,29-103,1995,2.1,1,0,0,2,5,0,0,3,1,0,0,0,10,7,1,87.5,Matchs
Yann Gboho,fr FRA,MT,AT,Toulouse,23-358,2001,14.2,1,0,0,11,36,0,17,4,8,1,0,0,62,4,22,15.4,Matchs
Denis Genreau,au AUS,MT,AT,Toulouse,25-230,1999,0.5,0,0,0,2,1,0,6,0,1,0,0,0,2,0,0,,Matchs
Aleksandr Golovin,ru RUS,MT,AT,Monaco,28-221,1996,10.8,1,0,0,20,18,0,19,9,22,0,0,0,86,8,10,44.4,Matchs
André Gomes,pt POR,MT,Lille,31-160,1993,4.5,2,0,0,11,5,0,1,3,3,0,0,0,38,2,4,33.3,Matchs
Angel Gomes,eng ENG,MT,Lille,24-128,2000,6.8,1,0,0,4,8,0,8,0,4,1,0,0,15,4,5,44.4,Matchs
Carlos Gómez,co COL,MT,AT,Rennes,22-116,2002,3.1,0,0,0,8,2,0,17,1,6,0,0,0,14,0,3,0.0,Matchs
Amine Gouiri,dz ALG,MT,AT,Rennes,24-325,2000,10.0,1,0,0,14,12,3,12,1,5,0,0,0,34,6,13,31.6,Matchs

Jonathan Gradit,fr FRA,DF,Lens,32-043,1992,8.3,3,0,0,15,5,0,5,12,9,0,0,0,30,30,15,66.7,Matchs
Samuel Grandsir,fr FRA,MT,AT,Le Havre,28-145,1996,0.9,0,0,0,2,0,0,5,0,5,0,0,0,9,0,1,0.0,Matchs
Mason Greenwood,eng ENG,AT,MT,Marseille,23-097,2001,15.1,1,0,0,10,24,1,70,6,11,2,0,0,50,4,4,50.0,Matchs
Albert Grønbaek,dk DEN,MT,AT,Rennes,23-228,2001,8.8,1,0,0,9,10,0,28,4,11,0,0,0,24,4,11,26.7,Matchs
