Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Karol Fila;pl POL;MT;Strasbourg;26-212;1998;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Malick Fofana;be BEL;AT;Lyon;19-286;2005;10.0;14;8;6;7;1;7;13;53.8;6;8;0;8;7;21;6;0;Matchs
;Seko Fofana;ci CIV;MT;Rennes;29-249;1995;0.3;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;Matchs
;Yahia Fofana;ci CIV;GB;Angers;24-143;2000;16.0;0;0;0;0;0;0;1;0.0;1;0;0;0;1;1;12;0;Matchs
;Lamine Fomba;fr FRA;MT;Saint-Étienne;26-351;1998;0.8;4;3;2;2;0;1;2;50.0;1;4;1;3;2;6;3;1;Matchs
;Przemysław Frankowski;pl POL;DF;Lens;29-274;1995;11.5;20;12;11;6;3;14;22;63.6;8;5;0;5;8;28;20;0;Matchs
;Angelo Fulgini;fr FRA;MT,AT;Lens;28-144;1996;7.4;5;4;2;1;2;3;5;60.0;2;8;1;7;0;5;2;0;Matchs
;Gauthier Gallon;fr FRA;GB;Rennes;31-263;1993;0.5;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Ignatius Ganago;cm CMR;AT,MT;Nantes;25-330;1999;2.7;1;1;0;1;0;1;2;50.0;1;3;1;2;4;5;2;0;Matchs
;Ulisses Garcia;ch SUI;DF;Marseille;29-000;1996;4.6;9;7;4;4;1;3;10;30.0;7;3;0;3;2;11;8;0;Matchs
;Jean-Philippe Gbamin;ci CIV;MT;Nantes;29-108;1995;2.3;2;1;0;2;0;1;4;25.0;3;4;1;3;3;5;2;0;Matchs
;Yann Gboho;fr FRA;MT,AT;Toulouse;23-363;2001;14.2;20;8;6;9;5;10;18;55.6;8;11;0;11;4;24;3;0;Matchs
;Denis Genreau;au AUS;MT,AT;Toulouse;25-235;1999;0.5;1;1;0;0;1;1;2;50.0;1;0;0;0;0;1;1;0;Matchs
;Aleksandr Golovin;ru RUS;MT,AT;Monaco;28-226;1996;10.8;33;22;8;18;7;16;31;51.6;15;14;4;10;9;42;6;0;Matchs
;André Gomes;pt POR;MT;Lille;31-165;1993;5.3;5;3;2;2;1;2;11;18.2;9;2;1;1;3;8;4;1;Matchs
;Angel Gomes;eng ENG;MT;Lille;24-133;2000;7.1;8;4;4;2;2;2;10;20.0;8;0;0;0;0;8;2;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Carlos Gómez;co COL;MT,AT;Rennes;22-121;2002;3.1;7;6;2;4;1;3;7;42.9;4;3;0;3;1;8;2;0;Matchs
