Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Pape Daouda Diongue;sn SEN;MT,AT;Strasbourg;;;0.8;43;52;82.7;640;96;22;26;84.6;12;14;85.7;4;5;80.0;0;0.2;0.0;-0.2;1;3;0;0;1;Matchs
;Mohammed Daramy;dk DEN;AT;Reims;23-004;2002;0.2;4;4;100.0;40;16;4;4;100.0;0;0;;0;0;;0;0.1;0.2;-0.1;1;0;0;0;0;Matchs
;Jonathan David;ca CAN;AT;Lille;24-363;2000;15.1;279;342;81.6;3623;512;179;208;86.1;82;94;87.2;5;10;50.0;1;1.2;1.7;-0.2;11;13;8;0;25;Matchs
;Zuriko Davitashvili;ge GEO;MT,AT;Saint-Étienne;23-331;2001;14.2;316;399;79.2;4583;1282;177;202;87.6;110;138;79.7;12;30;40.0;2;1.7;1.9;+0.3;22;17;11;3;37;Matchs
;Théo De Percin;mq MTQ;GB;Auxerre;23-344;2001;2.0;31;58;53.4;1059;852;3;3;100.0;9;10;90.0;19;44;43.2;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Thibault De Smet;be BEL;DF;Reims;26-220;1998;2.0;85;95;89.5;1541;474;34;38;89.5;45;45;100.0;6;9;66.7;0;0.0;0.0;0.0;0;9;0;0;7;Matchs
;Romain Del Castillo;fr FRA;AT;Brest;28-288;1996;9.6;340;481;70.7;5779;2067;174;218;79.8;111;150;74.0;43;82;52.4;3;2.4;2.9;+0.6;28;32;21;7;45;Matchs
;Ousmane Dembélé;fr FRA;AT;Paris S-G;27-241;1997;10.0;493;622;79.3;7720;2081;262;307;85.3;174;204;85.3;40;65;61.5;4;5.7;4.5;-1.7;40;49;32;2;75;Matchs
;Arthur Desmas;fr FRA;GB;Le Havre;30-279;1994;16.0;369;462;79.9;9245;5873;74;74;100.0;205;208;98.6;89;177;50.3;0;0.0;0.0;0.0;1;7;0;0;0;Matchs
;Mamadou Diakhon;fr FRA;AT,MT;Reims;19-111;2005;1.8;48;66;72.7;796;114;19;23;82.6;25;33;75.8;2;3;66.7;0;0.1;0.1;-0.1;3;3;1;0;7;Matchs
;Bafodé Diakité;fr FRA;DF;Lille;24-005;2001;17.0;1124;1215;92.5;21280;6873;349;374;93.3;684;705;97.0;80;109;73.4;1;0.1;0.4;+0.9;2;74;0;0;47;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oumar Diakité;ci CIV;AT;Reims;21-022;2003;12.5;204;249;81.9;2922;502;107;126;84.9;73;86;84.9;8;8;100.0;1;1.0;1.1;0.0;10;14;12;2;33;Matchs
